"Data Source","World Development Indicators",

"Last Updated Date","2023-05-10",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Australia","AUS","Self-employed, total (% of total employment) (modeled ILO estimate)","SL.EMP.SELF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.99913","20.14469","20.44394","20.25348","20.0228","19.93517","20.13574","19.91186","19.61831","19.98132","20.20222","20.34375","19.87325","19.66119","19.6552","18.96103","18.30792","18.19296","18.23879","18.36551","17.78815","17.17489","16.83583","17.14061","17.0579","17.04958","16.89909","16.45646","16.57698","16.47246","16.60156","",
"Austria","AUT","Self-employed, total (% of total employment) (modeled ILO estimate)","SL.EMP.SELF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.68675","14.58259","14.52773","14.37333","14.25214","14.43477","13.85215","13.79836","13.6756","13.51243","13.42029","13.5002","13.03601","12.54891","12.95307","13.04785","13.68835","13.54311","13.63928","13.81257","13.27622","13.07331","13.20106","13.28836","12.99709","12.72081","12.37719","12.00558","12.16069","12.2143","11.75631","",
"Azerbaijan","AZE","Self-employed, total (% of total employment) (modeled ILO estimate)","SL.EMP.SELF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61.84233","62.4678","63.34151","64.40663","65.52917","66.52344","67.33698","67.87469","68.28436","68.41394","69.03427","69.43603","70.02112","70.72025","70.65564","69.83482","68.78462","68.35542","67.5676","68.05525","68.28771","66.6916","66.51324","66.74039","67.65498","68.18535","68.3758","68.19746","66.68171","66.96999","66.28431","",
"Burundi","BDI","Self-employed, total (% of total employment) (modeled ILO estimate)","SL.EMP.SELF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","84.08382","84.18586","84.4094","84.49585","85.09763","85.82048","85.94189","85.89254","86.01839","86.09186","86.18034","86.15202","86.30419","86.82568","86.6927","86.82188","86.77016","86.93132","86.77177","86.92339","86.96756","86.82188","86.75082","86.68541","87.04786","87.15668","87.46653","87.66509","87.7906","88.46814","88.18572","",
"Belgium","BEL","Self-employed, total (% of total employment) (modeled ILO estimate)","SL.EMP.SELF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.26138","17.85879","17.91169","17.72155","17.94216","17.98995","17.27946","17.07341","17.27025","16.04435","15.21824","15.43697","15.15434","14.70138","15.22971","15.0748","14.82493","14.22493","14.79902","14.36063","14.3015","14.34573","15.07936","14.61325","15.17882","14.8357","14.29349","14.02908","14.23363","14.73049","14.0149","",
"Benin","BEN","Self-employed, total (% of total employment) (modeled ILO estimate)","SL.EMP.SELF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","91.40026","91.36115","91.33138","90.59527","90.62383","90.58041","90.49532","90.54855","90.39035","90.31102","90.11334","90.02963","89.96016","89.99246","89.96255","89.99165","89.96803","90.0259","89.97978","89.93787","90.02225","90.07949","89.85373","89.69182","89.84084","89.80469","89.69806","89.51316","89.10779","90.17822","89.83135","",
"Burkina Faso","BFA","Self-employed, total (% of total employment) (modeled ILO estimate)","SL.EMP.SELF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","95.33685","95.3457","95.35979","95.39223","95.38261","95.30318","95.18037","95.11814","94.82572","94.82667","94.71883","94.59688","94.25248","94.08327","93.89444","93.59355","92.98203","92.5382","91.88386","90.91416","89.96852","89.28027","88.69779","87.81638","87.54265","87.11337","86.73123","86.38889","85.97803","87.55296","87.09171","",
"Bangladesh","BGD","Self-employed, total (% of total employment) (modeled ILO estimate)","SL.EMP.SELF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","66.5369","66.54381","66.53318","66.51758","66.47684","66.41867","66.34303","66.23159","66.0919","65.90102","65.66223","65.44112","65.20206","64.95712","64.62537","64.22509","63.77443","63.29022","62.81453","62.3402","61.9277","61.52482","61.16879","60.88476","60.68571","60.59748","60.50065","60.04984","59.59721","60.01587","59.0319","",
"Bulgaria","BGR","Self-employed, total (% of total employment) (modeled ILO estimate)","SL.EMP.SELF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.4844","15.6469","15.80085","15.90263","15.949","15.86546","16.05299","16.08252","16.34421","16.35695","15.14054","15.11441","15.86721","15.83096","14.0358","13.13561","12.41118","12.40424","12.47997","12.56908","12.10918","11.58555","12.13822","12.48567","12.02783","11.73128","11.89881","11.64882","10.82564","11.07172","10.47508","",
"Bahrain","BHR","Self-employed, total (% of total employment) (modeled ILO estimate)","SL.EMP.SELF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.52936","5.32715","5.0407","4.823716","4.632444","4.463487","4.30479","4.224053","4.081749","3.833641","3.713805","4.223726","4.122395","4.322463","4.049034","4.086562","3.892807","3.818815","3.7289","2.640696","2.671423","2.697545","2.692107","2.692353","2.692132","2.662458","2.634457","2.616678","2.591279","2.575956","2.610642","",
"Bahamas, The","BHS","Self-employed, total (% of total employment) (modeled ILO estimate)","SL.EMP.SELF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.42729","13.23737","13.24162","14.41489","14.38604","16.77102","14.96002","14.83309","16.00831","14.96546","14.06109","15.47812","14.41752","15.11279","14.62035","14.13531","13.8197","13.42657","13.4375","13.85073","14.2956","14.33465","14.513","14.57282","14.72008","14.712","14.70335","14.72336","14.74286","15.01316","14.91991","",
"Bosnia and Herzegovina","BIH","Self-employed, total (% of total employment) (modeled ILO estimate)","SL.EMP.SELF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34.77625","35.05809","35.43517","35.84836","36.12447","34.85368","33.25058","31.6699","30.32413","29.36487","28.72649","28.36116","28.25825","27.99367","27.76892","27.4857","26.99434","27.51531","27.20775","26.55933","25.25164","27.3919","25.42903","23.04471","24.22212","24.3993","24.55644","21.35712","24.89756","18.42433","17.97511","",
"Belarus","BLR","Self-employed, total (% of total employment) (modeled ILO estimate)","SL.EMP.SELF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.603175","4.63283","4.683596","4.749242","4.836009","4.915866","4.944789","4.937938","4.920276","4.867379","4.815395","4.76299","4.69946","4.595898","4.490348","4.376855","4.266369","4.135555","4.105768","4.031748","3.967238","3.939261","3.932564","3.928194","3.986982","4.057159","4.368932","4.178301","4.271641","3.869067","3.772918","",
"Belize","BLZ","Self-employed, total (% of total employment) (modeled ILO estimate)","SL.EMP.SELF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.39317","31.19906","31.11775","31.35271","31.60402","34.08681","33.88763","33.68914","33.26921","32.50347","32.19105","31.87704","31.33361","30.96442","30.61075","30.40108","30.55227","30.59075","30.92393","31.12816","31.42011","31.80686","32.20301","30.74821","32.47476","33.49585","33.22213","34.1027","35.23764","36.35289","35.88712","",
"Bermuda","BMU","Self-employed, total (% of total employment) (modeled ILO estimate)","SL.EMP.SELF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Self-employed, total (% of total employment) (modeled ILO estimate)","SL.EMP.SELF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70.41967","70.43618","70.40035","70.3245","70.20872","70.03944","69.63026","69.40626","68.9018","68.05759","66.39248","67.67652","65.55491","63.33474","64.66618","64.80758","61.64957","60.8109","58.07071","59.22426","60.34115","59.09847","60.17072","62.69352","61.1005","69.60315","68.86228","68.53242","63.42629","67.9732","69.11598","",
"Brazil","BRA","Self-employed, total (% of total employment) (modeled ILO estimate)","SL.EMP.SELF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37.96469","38.16713","38.00338","37.8012","37.41919","36.02115","36.78363","36.92143","37.5471","37.10229","36.80294","36.9397","37.00329","36.43576","36.52794","35.74102","34.57567","33.55257","33.05288","32.15346","31.48882","29.87678","30.13385","30.0118","31.30447","31.75364","32.30422","32.75187","33.08248","33.77418","35.08685","",
"Barbados","BRB","Self-employed, total (% of total employment) (modeled ILO estimate)","SL.EMP.SELF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.70975","13.00707","14.16555","12.99268","12.88326","12.71238","12.15722","12.60736","13.98827","12.70098","14.06423","14.07145","14.43521","15.23615","15.21929","14.99929","14.99823","15.0535","15.52528","15.91266","16.19087","16.4873","16.75416","16.56741","16.26223","17.36708","18.77464","19.35708","19.55408","19.36784","19.21915","",
"Brunei Darussalam","BRN","Self-employed, total (% of total employment) (modeled ILO estimate)","SL.EMP.SELF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.067029","5.152029","5.301693","5.433194","5.516852","5.560697","5.670652","5.920464","6.005692","6.033782","6.260787","6.348361","6.395792","6.478689","6.540068","6.664329","6.940135","6.976731","7.410364","7.575592","7.626515","7.812567","8.103581","8.334391","8.498073","8.666904","8.910917","7.572462","8.981808","9.076138","9.085896","",
"Bhutan","BTN","Self-employed, total (% of total employment) (modeled ILO estimate)","SL.EMP.SELF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","72.79765","72.79366","72.80252","72.79595","72.74439","72.6705","72.58422","72.48512","72.33524","72.23083","72.07336","71.80563","71.50776","71.24361","70.99549","70.75027","70.24659","69.82732","69.48174","69.10863","71.11531","70.8918","70.78396","70.79756","72.39888","72.65842","72.69617","72.50069","72.35345","73.52552","73.0567","",
"Botswana","BWA","Self-employed, total (% of total employment) (modeled ILO estimate)","SL.EMP.SELF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36.02077","35.33721","34.77983","33.83043","25.7388","19.70683","20.18108","20.95672","21.41261","22.11744","23.04882","23.87638","24.79433","25.83347","26.83833","27.67462","28.22195","28.87798","30.31214","30.38134","30.51043","30.93155","30.8266","30.49921","30.72698","30.54616","30.52954","30.34993","30.25496","28.88254","28.27059","",
"Central African Republic","CAF","Self-employed, total (% of total employment) (modeled ILO estimate)","SL.EMP.SELF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","93.14856","93.31181","93.35357","93.40825","93.37158","93.66018","93.74712","93.74297","93.81197","93.94711","93.92465","93.93478","94.19871","94.1417","94.2153","94.10403","94.00573","93.93094","93.60249","93.4595","93.16633","92.86074","94.03838","94.42962","94.31621","94.29589","94.27369","94.19073","94.04874","94.64669","94.46136","",
"Canada","CAN","Self-employed, total (% of total employment) (modeled ILO estimate)","SL.EMP.SELF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.7448","15.14058","15.72065","15.53328","15.66802","16.19984","17.09672","17.18257","16.9513","16.13144","15.25473","15.2009","15.40242","15.42999","15.61027","15.27056","15.49632","15.57842","16.09933","15.80699","15.46025","15.35699","15.4344","15.30871","15.37801","15.31948","15.24052","15.33213","15.23286","15.52982","14.34097","",
"Central Europe and the Baltics","CEB","Self-employed, total (% of total employment) (modeled ILO estimate)","SL.EMP.SELF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.0942303763854","24.8749953942323","25.290327798863","25.1039066895076","25.6457893592826","25.2912427271369","25.9407050166218","25.8446852423337","26.3212654085301","26.8625497648396","26.9339973793481","24.9653836376833","24.5994752161236","23.4797281180949","22.9532137064752","21.9828120992856","21.3528537846718","20.7618195182066","21.1219351657047","21.8845945057509","21.3804686787278","21.1165428698312","20.6837608095729","20.2785966097346","19.4464280259404","18.6410595834488","18.383918356749","18.0435640896543","17.7075736332928","17.9852493127324","16.1478672652382","",
"Switzerland","CHE","Self-employed, total (% of total employment) (modeled ILO estimate)","SL.EMP.SELF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.67142","17.67335","17.69862","17.68022","17.72939","17.80296","18.38236","17.83263","17.73977","17.36412","17.15882","16.94672","17.5101","16.22658","16.02059","15.92059","16.14887","15.87821","15.25014","15.7247","15.40242","15.30497","15.33106","15.26847","14.86667","15.05837","14.85555","14.74562","14.37389","14.34292","15.01372","",
"Channel Islands","CHI","Self-employed, total (% of total employment) (modeled ILO estimate)","SL.EMP.SELF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.22343","17.19618","17.14304","17.05342","16.97411","16.89229","16.76534","16.64917","16.50438","16.28336","16.25774","16.24365","16.27468","16.22625","16.13638","15.95314","15.74074","15.68896","15.79695","15.70061","15.62454","15.54625","15.4479","15.32136","15.20111","15.09483","14.98287","14.89089","14.79899","14.97926","14.89697","",
"Chile","CHL","Self-employed, total (% of total employment) (modeled ILO estimate)","SL.EMP.SELF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.06057","30.73567","30.54045","30.41705","30.06355","29.92429","29.60064","30.81111","30.79612","30.57753","31.39175","31.52916","31.7615","31.84089","29.84369","28.92328","27.87152","27.24578","26.903","26.49047","26.37723","25.07677","25.42318","25.87232","25.64893","26.47399","27.43214","27.11391","27.21463","27.22851","27.02582","",
"China","CHN","Self-employed, total (% of total employment) (modeled ILO estimate)","SL.EMP.SELF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","69.42076","69.53224","69.41816","69.13238","68.7402","68.29253","67.81815","67.37505","66.95456","66.49091","65.94341","65.30339","64.55009","63.72434","62.73627","61.56037","60.11435","58.78839","57.50389","56.07903","54.71896","53.53625","52.40348","51.3267","50.31738","49.33584","48.33278","46.99999","46.03557","45.58469","44.53368","",
"Cote d'Ivoire","CIV","Self-employed, total (% of total employment) (modeled ILO estimate)","SL.EMP.SELF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","79.77632","79.90986","80.08742","80.287","80.28816","80.15144","80.04439","79.80095","79.60625","79.61829","79.55948","79.63501","79.75188","79.70683","79.57756","79.40938","79.18929","78.89474","78.54631","78.18182","78.52013","77.81918","76.57185","76.0885","75.51939","74.97807","73.39828","72.54918","71.72291","73.4135","72.58645","",
"Cameroon","CMR","Self-employed, total (% of total employment) (modeled ILO estimate)","SL.EMP.SELF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","84.46231","84.71194","85.19994","85.36183","85.35994","85.16805","84.17439","83.11169","81.98651","80.85072","79.64096","80.02356","80.38013","80.55005","80.98244","81.36765","81.6683","81.0788","80.5894","80.05767","79.48854","78.87743","78.18206","77.47271","76.82938","76.21823","75.64684","75.05268","74.45616","75.83971","75.23598","",
"Congo, Dem. Rep.","COD","Self-employed, total (% of total employment) (modeled ILO estimate)","SL.EMP.SELF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","88.89831","89.19024","89.50786","89.68738","89.77859","89.16248","90.05112","90.23018","90.57512","90.68677","90.36832","90.23563","90.39592","89.91525","89.61392","89.05385","88.22791","87.07806","86.42552","84.90527","83.6578","82.54248","81.76457","80.92519","80.61522","80.67808","80.45686","79.88242","80.14472","81.18659","80.69424","",
"Congo, Rep.","COG","Self-employed, total (% of total employment) (modeled ILO estimate)","SL.EMP.SELF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","78.62597","78.6329","78.69016","78.90618","78.94529","78.91285","79.00509","78.96091","79.15459","78.97955","78.8446","78.63636","78.59535","78.49343","78.17673","77.7537","78.11039","78.07323","77.72646","77.23972","76.96026","76.29819","75.90318","75.14698","74.68694","74.74156","74.74448","74.84383","74.67565","76.4713","76.23542","",
